epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.597,1.77171,0.98675,1.09441,0.86777,0.81615,0.87894,0.43037,1.64754,0.76663,1.02501,0.000475205,0.000475205,0.000475205
2,208.574,1.67946,0.80604,1.04575,0.89109,0.83763,0.89536,0.42988,1.63458,0.75367,1.02443,0.000932697,0.000932697,0.000932697
3,313.187,1.66476,0.78596,1.04139,0.8906,0.84153,0.90517,0.44311,1.63658,0.74317,1.02393,0.00137133,0.00137133,0.00137133
4,416.494,1.66529,0.78022,1.03637,0.90863,0.84707,0.91463,0.45411,1.59534,0.70858,1.00996,0.00134412,0.00134412,0.00134412
5,516.692,1.64094,0.75753,1.03573,0.89959,0.86228,0.91814,0.46741,1.58268,0.6959,1.01033,0.00131582,0.00131582,0.00131582
6,616.992,1.61549,0.73875,1.02549,0.90263,0.86235,0.92131,0.46467,1.58977,0.69965,1.0129,0.00128753,0.00128753,0.00128753
7,716.626,1.60812,0.72925,1.01759,0.89806,0.86697,0.92271,0.46181,1.6046,0.6749,1.0073,0.00125923,0.00125923,0.00125923
8,815.343,1.60023,0.72121,1.01984,0.9128,0.87431,0.931,0.4741,1.56457,0.67156,1.00177,0.00123094,0.00123094,0.00123094
9,914.834,1.59746,0.71385,1.02048,0.89423,0.86406,0.91585,0.44813,1.63308,0.68797,1.01029,0.00120265,0.00120265,0.00120265
10,1013.8,1.57299,0.70224,1.01552,0.91498,0.87675,0.93496,0.47964,1.56093,0.66862,1.00127,0.00117435,0.00117435,0.00117435
